# event exchanged matrix data (local)
# receiving LP, sending LP, num of events sent, minimum timestamp delta, maximum timestamp delta, average timestamp delta
131,131,1,1.000004,1.000004,1.000004
132,132,1,1.000004,1.000004,1.000004
133,133,1,1.000004,1.000004,1.000004
134,134,1,1.000004,1.000004,1.000004
135,135,1,1.000004,1.000004,1.000004
136,136,1,1.000004,1.000004,1.000004
137,137,1,1.000004,1.000004,1.000004
138,138,1,1.000004,1.000004,1.000004
139,139,1,1.000004,1.000004,1.000004
140,140,1,1.000004,1.000004,1.000004
141,141,1,1.000004,1.000004,1.000004
142,142,1,1.000004,1.000004,1.000004
143,143,1,1.000004,1.000004,1.000004
144,144,1,1.000004,1.000004,1.000004
145,145,1,1.000004,1.000004,1.000004
146,146,1,1.000004,1.000004,1.000004
147,147,1,1.000004,1.000004,1.000004
148,148,1,1.000004,1.000004,1.000004
149,149,1,1.000004,1.000004,1.000004
150,150,1,1.000004,1.000004,1.000004
151,151,1,1.000004,1.000004,1.000004
152,152,1,1.000004,1.000004,1.000004
153,153,1,1.000004,1.000004,1.000004
154,154,1,1.000004,1.000004,1.000004
155,155,1,1.000004,1.000004,1.000004
156,156,1,1.000004,1.000004,1.000004
157,157,1,1.000004,1.000004,1.000004
158,158,1,1.000004,1.000004,1.000004
159,159,1,1.000004,1.000004,1.000004
160,160,1,1.000004,1.000004,1.000004
161,161,1,1.000004,1.000004,1.000004
162,162,1,1.000004,1.000004,1.000004
163,163,1,1.000004,1.000004,1.000004
164,164,1,1.000004,1.000004,1.000004
165,165,1,1.000004,1.000004,1.000004
166,166,1,1.000004,1.000004,1.000004
167,167,1,1.000005,1.000005,1.000005
168,168,1,1.000005,1.000005,1.000005
169,169,1,1.000005,1.000005,1.000005
170,170,1,1.000005,1.000005,1.000005
171,171,1,1.000005,1.000005,1.000005
172,172,1,1.000005,1.000005,1.000005
173,173,1,1.000005,1.000005,1.000005
174,174,1,1.000005,1.000005,1.000005
175,175,1,1.000005,1.000005,1.000005
176,176,1,1.000005,1.000005,1.000005
177,177,1,1.000005,1.000005,1.000005
178,178,1,1.000005,1.000005,1.000005
179,179,1,1.000005,1.000005,1.000005
180,180,1,1.000005,1.000005,1.000005
181,181,1,1.000005,1.000005,1.000005
182,182,1,1.000005,1.000005,1.000005
183,183,1,1.000005,1.000005,1.000005
184,184,1,1.000005,1.000005,1.000005
185,185,1,1.000005,1.000005,1.000005
186,186,1,1.000005,1.000005,1.000005
187,187,1,1.000005,1.000005,1.000005
188,188,1,1.000005,1.000005,1.000005
189,189,1,1.000005,1.000005,1.000005
190,190,1,1.000005,1.000005,1.000005
191,191,1,1.000005,1.000005,1.000005
192,192,1,1.000005,1.000005,1.000005
193,193,1,1.000005,1.000005,1.000005
194,194,1,1.000005,1.000005,1.000005
195,195,1,1.000005,1.000005,1.000005
196,196,1,1.000005,1.000005,1.000005
197,197,1,1.000005,1.000005,1.000005
198,198,1,1.000005,1.000005,1.000005
199,199,1,1.000005,1.000005,1.000005
200,200,1,1.000005,1.000005,1.000005
201,201,1,1.000005,1.000005,1.000005
202,202,1,1.000005,1.000005,1.000005
203,203,1,1.000005,1.000005,1.000005
204,204,1,1.000005,1.000005,1.000005
205,205,1,1.000006,1.000006,1.000006
206,206,1,1.000006,1.000006,1.000006
207,207,1,1.000006,1.000006,1.000006
208,208,1,1.000006,1.000006,1.000006
209,209,1,1.000006,1.000006,1.000006
210,210,1,1.000006,1.000006,1.000006
211,211,1,1.000006,1.000006,1.000006
212,212,1,1.000006,1.000006,1.000006
213,213,1,1.000006,1.000006,1.000006
214,214,1,1.000006,1.000006,1.000006
215,215,1,1.000006,1.000006,1.000006
216,216,1,1.000006,1.000006,1.000006
217,217,1,1.000006,1.000006,1.000006
218,218,1,1.000006,1.000006,1.000006
219,219,1,1.000006,1.000006,1.000006
220,220,1,1.000006,1.000006,1.000006
221,221,1,1.000006,1.000006,1.000006
222,222,1,1.000006,1.000006,1.000006
223,223,1,1.000006,1.000006,1.000006
224,224,1,1.000006,1.000006,1.000006
225,225,1,1.000006,1.000006,1.000006
226,226,1,1.000006,1.000006,1.000006
227,227,1,1.000006,1.000006,1.000006
228,228,1,1.000006,1.000006,1.000006
229,229,1,1.000006,1.000006,1.000006
230,230,1,1.000006,1.000006,1.000006
231,231,1,1.000007,1.000007,1.000007
232,232,1,1.000007,1.000007,1.000007
233,233,1,1.000007,1.000007,1.000007
234,234,1,1.000007,1.000007,1.000007
235,235,1,1.000007,1.000007,1.000007
236,236,1,1.000007,1.000007,1.000007
237,237,1,1.000007,1.000007,1.000007
238,238,1,1.000007,1.000007,1.000007
239,239,1,1.000007,1.000007,1.000007
240,240,1,1.000007,1.000007,1.000007
241,241,1,1.000007,1.000007,1.000007
242,242,1,1.000007,1.000007,1.000007
243,243,1,1.000007,1.000007,1.000007
244,244,1,1.000007,1.000007,1.000007
245,245,1,1.000007,1.000007,1.000007
246,246,1,1.000007,1.000007,1.000007
247,247,1,1.000007,1.000007,1.000007
248,248,1,1.000007,1.000007,1.000007
249,249,1,1.000007,1.000007,1.000007
250,250,1,1.000007,1.000007,1.000007
251,251,1,1.000007,1.000007,1.000007
252,252,1,1.000007,1.000007,1.000007
253,253,1,1.000007,1.000007,1.000007
254,254,1,1.000007,1.000007,1.000007
255,255,1,1.000007,1.000007,1.000007
256,256,1,1.000007,1.000007,1.000007
257,257,1,1.000007,1.000007,1.000007
258,258,1,1.000007,1.000007,1.000007
259,259,1,1.000007,1.000007,1.000007
260,260,1,1.000007,1.000007,1.000007
261,261,1,1.000007,1.000007,1.000007
262,262,1,1.000008,1.000008,1.000008
263,263,1,1.000008,1.000008,1.000008
264,264,1,1.000008,1.000008,1.000008
265,265,1,1.000008,1.000008,1.000008
266,266,1,1.000008,1.000008,1.000008
267,267,1,1.000008,1.000008,1.000008
268,268,1,1.000008,1.000008,1.000008
269,269,1,1.000008,1.000008,1.000008
270,270,1,1.000008,1.000008,1.000008
271,271,1,1.000008,1.000008,1.000008
272,272,1,1.000008,1.000008,1.000008
273,273,1,1.000008,1.000008,1.000008
274,274,1,1.000008,1.000008,1.000008
275,275,1,1.000008,1.000008,1.000008
276,276,1,1.000008,1.000008,1.000008
277,277,1,1.000008,1.000008,1.000008
278,278,1,1.000008,1.000008,1.000008
279,279,1,1.000008,1.000008,1.000008
280,280,1,1.000008,1.000008,1.000008
281,281,1,1.000008,1.000008,1.000008
282,282,1,1.000008,1.000008,1.000008
283,283,1,1.000008,1.000008,1.000008
284,284,1,1.000008,1.000008,1.000008
285,285,1,1.000008,1.000008,1.000008
286,286,1,1.000008,1.000008,1.000008
287,287,1,1.000008,1.000008,1.000008
288,288,1,1.000008,1.000008,1.000008
289,289,1,1.000008,1.000008,1.000008
290,290,1,1.000008,1.000008,1.000008
291,291,1,1.000008,1.000008,1.000008
292,292,1,1.000008,1.000008,1.000008
293,293,1,1.000008,1.000008,1.000008
294,294,1,1.000008,1.000008,1.000008
295,295,1,1.000009,1.000009,1.000009
296,296,1,1.000009,1.000009,1.000009
297,297,1,1.000009,1.000009,1.000009
298,298,1,1.000009,1.000009,1.000009
299,299,1,1.000009,1.000009,1.000009
300,300,1,1.000009,1.000009,1.000009
301,301,1,1.000009,1.000009,1.000009
302,302,1,1.000009,1.000009,1.000009
303,303,1,1.000009,1.000009,1.000009
304,304,1,1.000009,1.000009,1.000009
305,305,1,1.000009,1.000009,1.000009
306,306,1,1.000009,1.000009,1.000009
307,307,1,1.000009,1.000009,1.000009
308,308,1,1.000009,1.000009,1.000009
309,309,1,1.000009,1.000009,1.000009
310,310,1,1.000009,1.000009,1.000009
311,311,1,1.000009,1.000009,1.000009
312,312,1,1.000009,1.000009,1.000009
313,313,1,1.000009,1.000009,1.000009
314,314,1,1.000009,1.000009,1.000009
315,315,1,1.000009,1.000009,1.000009
316,316,1,1.000009,1.000009,1.000009
317,317,1,1.000009,1.000009,1.000009
318,318,1,1.000009,1.000009,1.000009
319,319,1,1.000009,1.000009,1.000009
320,320,1,1.000009,1.000009,1.000009
321,321,1,1.000009,1.000009,1.000009
322,322,1,1.00001,1.00001,1.00001
323,323,1,1.00001,1.00001,1.00001
324,324,1,1.00001,1.00001,1.00001
325,325,1,1.00001,1.00001,1.00001
326,326,1,1.00001,1.00001,1.00001
327,327,1,1.00001,1.00001,1.00001
328,328,1,1.00001,1.00001,1.00001
329,329,1,1.00001,1.00001,1.00001
330,330,1,1.00001,1.00001,1.00001
331,331,1,1.00001,1.00001,1.00001
332,332,1,1.00001,1.00001,1.00001
333,333,1,1.00001,1.00001,1.00001
334,334,1,1.00001,1.00001,1.00001
335,335,1,1.00001,1.00001,1.00001
336,336,1,1.00001,1.00001,1.00001
337,337,1,1.00001,1.00001,1.00001
338,338,1,1.00001,1.00001,1.00001
339,339,1,1.00001,1.00001,1.00001
340,340,1,1.00001,1.00001,1.00001
341,341,1,1.00001,1.00001,1.00001
342,342,1,1.00001,1.00001,1.00001
343,343,1,1.00001,1.00001,1.00001
344,344,1,1.00001,1.00001,1.00001
345,345,1,1.00001,1.00001,1.00001
346,346,1,1.00001,1.00001,1.00001
347,347,1,1.00001,1.00001,1.00001
348,348,1,1.00001,1.00001,1.00001
349,349,1,1.00001,1.00001,1.00001
350,350,1,1.00001,1.00001,1.00001
351,351,1,1.00001,1.00001,1.00001
352,352,1,1.00001,1.00001,1.00001
353,353,1,1.00001,1.00001,1.00001
354,354,1,1.00001,1.00001,1.00001
355,355,1,1.00001,1.00001,1.00001
356,356,1,1.00001,1.00001,1.00001
357,357,1,1.00001,1.00001,1.00001
358,358,1,1.00001,1.00001,1.00001
359,359,1,1.00001,1.00001,1.00001
360,360,1,1.00001,1.00001,1.00001
361,361,1,1.000011,1.000011,1.000011
362,362,1,1.000011,1.000011,1.000011
363,363,1,1.000011,1.000011,1.000011
364,364,1,1.000011,1.000011,1.000011
365,365,1,1.000011,1.000011,1.000011
366,366,1,1.000011,1.000011,1.000011
367,367,1,1.000011,1.000011,1.000011
368,368,1,1.000011,1.000011,1.000011
369,369,1,1.000011,1.000011,1.000011
370,370,1,1.000011,1.000011,1.000011
371,371,1,1.000011,1.000011,1.000011
372,372,1,1.000011,1.000011,1.000011
373,373,1,1.000011,1.000011,1.000011
374,374,1,1.000011,1.000011,1.000011
375,375,1,1.000011,1.000011,1.000011
376,376,1,1.000011,1.000011,1.000011
377,377,1,1.000011,1.000011,1.000011
378,378,1,1.000011,1.000011,1.000011
379,379,1,1.000011,1.000011,1.000011
380,380,1,1.000011,1.000011,1.000011
381,381,1,1.000011,1.000011,1.000011
382,382,1,1.000011,1.000011,1.000011
383,383,1,1.000011,1.000011,1.000011
384,384,1,1.000011,1.000011,1.000011
385,385,1,1.000011,1.000011,1.000011
386,386,1,1.000011,1.000011,1.000011
387,387,1,1.000011,1.000011,1.000011
388,388,1,1.000011,1.000011,1.000011
389,389,1,1.000011,1.000011,1.000011
390,390,1,1.000011,1.000011,1.000011
391,391,1,1.000011,1.000011,1.000011
392,392,1,1.000011,1.000011,1.000011
393,393,1,1.000011,1.000011,1.000011
394,394,1,1.000011,1.000011,1.000011
395,395,1,1.000011,1.000011,1.000011
396,396,1,1.000011,1.000011,1.000011
397,397,1,1.000011,1.000011,1.000011
398,398,1,1.000011,1.000011,1.000011
399,399,1,1.000012,1.000012,1.000012
400,400,1,1.000012,1.000012,1.000012
401,401,1,1.000012,1.000012,1.000012
402,402,1,1.000012,1.000012,1.000012
403,403,1,1.000012,1.000012,1.000012
404,404,1,1.000012,1.000012,1.000012
405,405,1,1.000012,1.000012,1.000012
406,406,1,1.000012,1.000012,1.000012
407,407,1,1.000012,1.000012,1.000012
408,408,1,1.000012,1.000012,1.000012
409,409,1,1.000012,1.000012,1.000012
410,410,1,1.000012,1.000012,1.000012
411,411,1,1.000012,1.000012,1.000012
412,412,1,1.000012,1.000012,1.000012
413,413,1,1.000012,1.000012,1.000012
414,414,1,1.000012,1.000012,1.000012
415,415,1,1.000012,1.000012,1.000012
416,416,1,1.000012,1.000012,1.000012
417,417,1,1.000012,1.000012,1.000012
418,418,1,1.000012,1.000012,1.000012
419,419,1,1.000012,1.000012,1.000012
420,420,1,1.000012,1.000012,1.000012
421,421,1,1.000012,1.000012,1.000012
422,422,1,1.000012,1.000012,1.000012
423,423,1,1.000012,1.000012,1.000012
424,424,1,1.000012,1.000012,1.000012
425,425,1,1.000012,1.000012,1.000012
426,426,1,1.000012,1.000012,1.000012
427,427,1,1.000012,1.000012,1.000012
428,428,1,1.000012,1.000012,1.000012
429,429,1,1.000013,1.000013,1.000013
430,430,1,1.000013,1.000013,1.000013
431,431,1,1.000013,1.000013,1.000013
432,432,1,1.000013,1.000013,1.000013
433,433,1,1.000013,1.000013,1.000013
434,434,1,1.000013,1.000013,1.000013
435,435,1,1.000013,1.000013,1.000013
436,436,1,1.000013,1.000013,1.000013
437,437,1,1.000013,1.000013,1.000013
438,438,1,1.000013,1.000013,1.000013
439,439,1,1.000013,1.000013,1.000013
440,440,1,1.000013,1.000013,1.000013
441,441,1,1.000013,1.000013,1.000013
442,442,1,1.000013,1.000013,1.000013
443,443,1,1.000013,1.000013,1.000013
444,444,1,1.000013,1.000013,1.000013
445,445,1,1.000013,1.000013,1.000013
446,446,1,1.000013,1.000013,1.000013
447,447,1,1.000013,1.000013,1.000013
448,448,1,1.000013,1.000013,1.000013
449,449,1,1.000013,1.000013,1.000013
450,450,1,1.000013,1.000013,1.000013
451,451,1,1.000013,1.000013,1.000013
452,452,1,1.000013,1.000013,1.000013
453,453,1,1.000013,1.000013,1.000013
454,454,1,1.000013,1.000013,1.000013
455,455,1,1.000013,1.000013,1.000013
456,456,1,1.000013,1.000013,1.000013
457,457,1,1.000013,1.000013,1.000013
458,458,1,1.000013,1.000013,1.000013
459,459,1,1.000013,1.000013,1.000013
460,460,1,1.000013,1.000013,1.000013
461,461,1,1.000013,1.000013,1.000013
462,462,1,1.000013,1.000013,1.000013
463,463,1,1.000013,1.000013,1.000013
464,464,1,1.000013,1.000013,1.000013
465,465,1,1.000014,1.000014,1.000014
466,466,1,1.000014,1.000014,1.000014
467,467,1,1.000014,1.000014,1.000014
468,468,1,1.000014,1.000014,1.000014
469,469,1,1.000014,1.000014,1.000014
470,470,1,1.000014,1.000014,1.000014
471,471,1,1.000014,1.000014,1.000014
472,472,1,1.000014,1.000014,1.000014
473,473,1,1.000014,1.000014,1.000014
474,474,1,1.000014,1.000014,1.000014
475,475,1,1.000014,1.000014,1.000014
476,476,1,1.000014,1.000014,1.000014
477,477,1,1.000014,1.000014,1.000014
478,478,1,1.000014,1.000014,1.000014
479,479,1,1.000014,1.000014,1.000014
480,480,1,1.000014,1.000014,1.000014
481,481,1,1.000014,1.000014,1.000014
482,482,1,1.000014,1.000014,1.000014
483,483,1,1.000014,1.000014,1.000014
484,484,1,1.000014,1.000014,1.000014
485,485,1,1.000014,1.000014,1.000014
486,486,1,1.000014,1.000014,1.000014
487,487,1,1.000014,1.000014,1.000014
488,488,1,1.000014,1.000014,1.000014
489,489,1,1.000014,1.000014,1.000014
490,490,1,1.000014,1.000014,1.000014
491,491,1,1.000014,1.000014,1.000014
492,492,1,1.000014,1.000014,1.000014
493,493,1,1.000014,1.000014,1.000014
494,494,1,1.000014,1.000014,1.000014
495,495,1,1.000014,1.000014,1.000014
496,496,1,1.000014,1.000014,1.000014
497,497,1,1.000014,1.000014,1.000014
498,498,1,1.000015,1.000015,1.000015
499,499,1,1.000015,1.000015,1.000015
500,500,1,1.000015,1.000015,1.000015
501,501,1,1.000015,1.000015,1.000015
502,502,1,1.000015,1.000015,1.000015
503,503,1,1.000015,1.000015,1.000015
504,504,1,1.000015,1.000015,1.000015
505,505,1,1.000015,1.000015,1.000015
506,506,1,1.000015,1.000015,1.000015
507,507,1,1.000015,1.000015,1.000015
508,508,1,1.000015,1.000015,1.000015
509,509,1,1.000015,1.000015,1.000015
510,510,1,1.000015,1.000015,1.000015
511,511,1,1.000015,1.000015,1.000015
512,512,1,1.000015,1.000015,1.000015
513,513,1,1.000015,1.000015,1.000015
514,514,1,1.000015,1.000015,1.000015
515,515,1,1.000015,1.000015,1.000015
516,516,1,1.000015,1.000015,1.000015
517,517,1,1.000015,1.000015,1.000015
518,518,1,1.000015,1.000015,1.000015
519,519,1,1.000015,1.000015,1.000015
520,520,1,1.000015,1.000015,1.000015
521,521,1,1.000015,1.000015,1.000015
522,522,1,1.000015,1.000015,1.000015
523,523,1,1.000015,1.000015,1.000015
524,524,1,1.000015,1.000015,1.000015
525,525,1,1.000015,1.000015,1.000015
526,526,1,1.000015,1.000015,1.000015
527,527,1,1.000015,1.000015,1.000015
528,528,1,1.000015,1.000015,1.000015
529,529,1,1.000015,1.000015,1.000015
530,530,1,1.000015,1.000015,1.000015
531,531,1,1.000015,1.000015,1.000015
532,532,1,1.000015,1.000015,1.000015
533,533,1,1.000016,1.000016,1.000016
534,534,1,1.000016,1.000016,1.000016
535,535,1,1.000016,1.000016,1.000016
536,536,1,1.000016,1.000016,1.000016
537,537,1,1.000016,1.000016,1.000016
538,538,1,1.000016,1.000016,1.000016
539,539,1,1.000016,1.000016,1.000016
540,540,1,1.000016,1.000016,1.000016
541,541,1,1.000016,1.000016,1.000016
542,542,1,1.000016,1.000016,1.000016
543,543,1,1.000016,1.000016,1.000016
544,544,1,1.000016,1.000016,1.000016
545,545,1,1.000016,1.000016,1.000016
546,546,1,1.000016,1.000016,1.000016
547,547,1,1.000016,1.000016,1.000016
548,548,1,1.000016,1.000016,1.000016
549,549,1,1.000016,1.000016,1.000016
550,550,1,1.000016,1.000016,1.000016
551,551,1,1.000016,1.000016,1.000016
552,552,1,1.000016,1.000016,1.000016
553,553,1,1.000016,1.000016,1.000016
554,554,1,1.000016,1.000016,1.000016
555,555,1,1.000016,1.000016,1.000016
556,556,1,1.000016,1.000016,1.000016
557,557,1,1.000016,1.000016,1.000016
558,558,1,1.000016,1.000016,1.000016
559,559,1,1.000016,1.000016,1.000016
560,560,1,1.000016,1.000016,1.000016
561,561,1,1.000016,1.000016,1.000016
562,562,1,1.000016,1.000016,1.000016
563,563,1,1.000016,1.000016,1.000016
564,564,1,1.000017,1.000017,1.000017
565,565,1,1.000017,1.000017,1.000017
566,566,1,1.000017,1.000017,1.000017
567,567,1,1.000017,1.000017,1.000017
568,568,1,1.000017,1.000017,1.000017
569,569,1,1.000017,1.000017,1.000017
570,570,1,1.000017,1.000017,1.000017
571,571,1,1.000017,1.000017,1.000017
572,572,1,1.000017,1.000017,1.000017
573,573,1,1.000017,1.000017,1.000017
574,574,1,1.000017,1.000017,1.000017
575,575,1,1.000017,1.000017,1.000017
576,576,1,1.000017,1.000017,1.000017
577,577,1,1.000017,1.000017,1.000017
578,578,1,1.000017,1.000017,1.000017
579,579,1,1.000017,1.000017,1.000017
580,580,1,1.000017,1.000017,1.000017
581,581,1,1.000017,1.000017,1.000017
582,582,1,1.000017,1.000017,1.000017
583,583,1,1.000017,1.000017,1.000017
584,584,1,1.000017,1.000017,1.000017
585,585,1,1.000017,1.000017,1.000017
586,586,1,1.000017,1.000017,1.000017
587,587,1,1.000017,1.000017,1.000017
588,588,1,1.000017,1.000017,1.000017
589,589,1,1.000017,1.000017,1.000017
590,590,1,1.000017,1.000017,1.000017
591,591,1,1.000017,1.000017,1.000017
592,592,1,1.000017,1.000017,1.000017
593,593,1,1.000017,1.000017,1.000017
594,594,1,1.000017,1.000017,1.000017
595,595,1,1.000017,1.000017,1.000017
596,596,1,1.000017,1.000017,1.000017
597,597,1,1.000017,1.000017,1.000017
598,598,1,1.000017,1.000017,1.000017
599,599,1,1.000017,1.000017,1.000017
600,600,1,1.000017,1.000017,1.000017
601,601,1,1.000017,1.000017,1.000017
602,602,1,1.000017,1.000017,1.000017
603,603,1,1.000017,1.000017,1.000017
604,604,1,1.000018,1.000018,1.000018
605,605,1,1.000018,1.000018,1.000018
606,606,1,1.000018,1.000018,1.000018
607,607,1,1.000018,1.000018,1.000018
608,608,1,1.000018,1.000018,1.000018
609,609,1,1.000018,1.000018,1.000018
610,610,1,1.000018,1.000018,1.000018
611,611,1,1.000018,1.000018,1.000018
612,612,1,1.000018,1.000018,1.000018
613,613,1,1.000018,1.000018,1.000018
614,614,1,1.000018,1.000018,1.000018
615,615,1,1.000018,1.000018,1.000018
616,616,1,1.000018,1.000018,1.000018
617,617,1,1.000018,1.000018,1.000018
618,618,1,1.000018,1.000018,1.000018
619,619,1,1.000018,1.000018,1.000018
620,620,1,1.000018,1.000018,1.000018
621,621,1,1.000018,1.000018,1.000018
622,622,1,1.000018,1.000018,1.000018
623,623,1,1.000018,1.000018,1.000018
624,624,1,1.000018,1.000018,1.000018
625,625,1,1.000018,1.000018,1.000018
626,626,1,1.000018,1.000018,1.000018
627,627,1,1.000018,1.000018,1.000018
628,628,1,1.000018,1.000018,1.000018
629,629,1,1.000018,1.000018,1.000018
630,630,1,1.000018,1.000018,1.000018
631,631,1,1.000018,1.000018,1.000018
632,632,1,1.000018,1.000018,1.000018
633,633,1,1.000018,1.000018,1.000018
634,634,1,1.000018,1.000018,1.000018
635,635,1,1.000018,1.000018,1.000018
636,636,1,1.000018,1.000018,1.000018
637,637,1,1.000018,1.000018,1.000018
638,638,1,1.000018,1.000018,1.000018
639,639,1,1.000018,1.000018,1.000018
640,640,1,1.000018,1.000018,1.000018
641,641,1,1.000018,1.000018,1.000018
642,642,1,1.000018,1.000018,1.000018
643,643,1,1.000018,1.000018,1.000018
644,644,1,1.000018,1.000018,1.000018
645,645,1,1.000018,1.000018,1.000018
646,646,1,1.000018,1.000018,1.000018
647,647,1,1.000018,1.000018,1.000018
648,648,1,1.000018,1.000018,1.000018
649,649,1,1.000018,1.000018,1.000018
650,650,1,1.000018,1.000018,1.000018
651,651,1,1.000019,1.000019,1.000019
652,652,1,1.000019,1.000019,1.000019
653,653,1,1.000019,1.000019,1.000019
654,654,1,1.000019,1.000019,1.000019
655,655,1,1.000019,1.000019,1.000019
656,656,1,1.000019,1.000019,1.000019
657,657,1,1.000019,1.000019,1.000019
658,658,1,1.000019,1.000019,1.000019
659,659,1,1.000019,1.000019,1.000019
660,660,1,1.000019,1.000019,1.000019
661,661,1,1.000019,1.000019,1.000019
662,662,1,1.000019,1.000019,1.000019
663,663,1,1.000019,1.000019,1.000019
